SAMPLE_NUMBER,SAMPLED_DATE,SAMPLE_NAME,SAMPLING_POINT_DESCRIPTION,SITE,FACILITY,ANALYTE,FORMATTED_ENTRY,UNITS,DEPTH,Target,Date,Time
224128,8/20/2012 10:55,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,4.02,ng/L,5,RES_SAM,8/20/2012,10:55:00
225897,9/17/2012 10:57,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,24.35,ng/L,5,RES_SAM,9/17/2012,10:57:00
226048,9/24/2012 9:22,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,7.31,ng/L,5,RES_SAM,9/24/2012,9:22:00
226049,9/24/2012 9:23,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,5.78,ng/L,15,RES_SAM,9/24/2012,9:23:00
227416,10/15/2012 11:12,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,113.4,ng/L,5,RES_SAM,10/15/2012,11:12:00
227740,10/22/2012 11:20,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,58.03,ng/L,5,RES_SAM,10/22/2012,11:20:00
228893,11/5/2012 11:55,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,80.29,ng/L,5,RES_SAM,11/5/2012,11:55:00
229030,11/13/2012 13:35,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,44,ng/L,5,RES_SAM,11/13/2012,13:35:00
229154,11/19/2012 12:22,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,34.9,ng/L,5,RES_SAM,11/19/2012,12:22:00
230300,12/3/2012 11:25,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,26.3,ng/L,5,RES_SAM,12/3/2012,11:25:00
230301,12/3/2012 11:30,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,23.9,ng/L,15,RES_SAM,12/3/2012,11:30:00
230630,12/18/2012 11:48,RS-MR-01-15,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,14.72,ng/L,15,RES_SAM,12/18/2012,11:48:00
230608,12/18/2012 11:58,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,18.48,ng/L,5,RES_SAM,12/18/2012,11:58:00
231868,1/11/2013 10:15,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,11.61,ng/L,5,RES_SAM,1/11/2013,10:15:00
231869,1/11/2013 10:17,RS-MR-01-10,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,11.65,ng/L,10,RES_SAM,1/11/2013,10:17:00
240892,6/4/2013 10:50,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2.74,ng/L,5,RES_SAM,6/4/2013,10:50:00
241795,6/25/2013 10:08,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,5,RES_SAM,6/25/2013,10:08:00
241794,6/25/2013 10:10,RS-MR-01-1,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,3,ng/L,1,RES_SAM,6/25/2013,10:10:00
243091,7/2/2013 10:05,RS-MR-01-1,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,1,RES_SAM,7/2/2013,10:05:00
244021,7/23/2013 8:35,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,18.51,ng/L,5,RES_SAM,7/23/2013,8:35:00
245629,7/29/2013 9:25,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,14.5,ng/L,5,RES_SAM,7/29/2013,9:25:00
245700,8/5/2013 10:45,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2.21,ng/L,5,RES_SAM,8/5/2013,10:45:00
246103,8/12/2013 11:00,RS-MR-01-1,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,1,ng/L,1,RES_SAM,8/12/2013,11:00:00
246105,8/12/2013 11:05,RS-MR-01-5,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,1,ng/L,5,RES_SAM,8/12/2013,11:05:00
246107,8/12/2013 11:07,RS-MR-01-10,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,1,ng/L,10,RES_SAM,8/12/2013,11:07:00
246797,8/26/2013 10:36,RS-MR-01-1,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,1,ng/L,1,RES_SAM,8/26/2013,10:36:00
273219,9/2/2014 9:40,RS-MR-01-1,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,1,ng/L,1,RES_SAM,9/2/2014,9:40:00
273221,9/2/2014 9:42,RS-MR-01-4,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,1,ng/L,4,RES_SAM,9/2/2014,9:42:00
273682,9/9/2014 10:45,RS-MR-01-1,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,1,ng/L,1,RES_SAM,9/9/2014,10:45:00
